r2_cid,r2_sid
"DummyConfg","EffTDINOM "
"DummyConfg","EffTPHAEO "
"DummyConfg","EffTULVAS "
"DummyConfg","EffTULVAF "
"DummyConfg","EffTNODUL "
"DummyConfg","EffTANABA "
"DummyConfg","EffTALG01 "
"DummyConfg","EffTALG02 "
"DummyConfg","EffTALG03 "
"DummyConfg","EffTALG04 "
"DummyConfg","EffTALG05 "
"DummyConfg","EffTALG06 "
"DummyConfg","EffTALG07 "
"DummyConfg","EffTALG08 "
"DummyConfg","EffTALG09 "
"DummyConfg","EffTALG10 "
"DummyConfg","EffTALG11 "
"DummyConfg","EffTALG12 "
"DummyConfg","EffTALG13 "
"DummyConfg","EffTALG14 "
"DummyConfg","EffTALG15 "
"DummyConfg","EffTALG16 "
"DummyConfg","EffTALG17 "
"DummyConfg","EffTALG18 "
"DummyConfg","EffTALG19 "
"DummyConfg","EffTALG20 "
"DummyConfg","EffTALG21 "
"DummyConfg","EffTALG22 "
"DummyConfg","EffTALG23 "
"DummyConfg","EffTALG24 "
"DummyConfg","EffTALG25 "
"DummyConfg","EffTALG26 "
"DummyConfg","EffTALG27 "
"DummyConfg","EffTALG28 "
"DummyConfg","EffTALG29 "
"DummyConfg","EffTALG30 "
"DummyConfg","Fe        "
"DummyConfg","NO3       "
"DummyConfg","NH4       "
"DummyConfg","PO4       "
"DummyConfg","Si        "
"DummyConfg","cellC_1   "
"DummyConfg","cellP_1   "
"DummyConfg","cellSi_1  "
"DummyConfg","cellFe_1  "
"DummyConfg","cellChl_1 "
"DummyConfg","Cu        "
"DummyConfg","H2O       "
"DummyConfg","SO4       "
"DummyConfg","H+        "
"DummyConfg","SUD       "
"DummyConfg","POS1      "
"DummyConfg","PON1      "
"DummyConfg","POP1      "
"DummyConfg","Opal      "
"DummyConfg","POS2      "
"DummyConfg","PON2      "
"DummyConfg","POP2      "
"DummyConfg","APHANFIX  "
"DummyConfg","APHANIZO  "
"DummyConfg","BLUEGRN   "
"DummyConfg","DINOFLAG  "
"DummyConfg","DINOMIX   "
"DummyConfg","FDIATOMS  "
"DummyConfg","FFLAGELA  "
"DummyConfg","GREENS    "
"DummyConfg","MDIATOMS  "
"DummyConfg","MFLAGELA  "
"DummyConfg","MICROCYS  "
"DummyConfg","OSCILAT   "
"DummyConfg","PHAEOCYS  "
"DummyConfg","UlvaF     "
"DummyConfg","UlvaS     "
"DummyConfg","NODULA    "
"DummyConfg","ANABAENA  "
"DummyConfg","CYLINFIX  "
"DummyConfg","ARTHROSP  "
"DummyConfg","PLANKTOL  "
"DummyConfg","PSEUDOAN  "
"DummyConfg","Phyt      "
"DummyConfg","AlgN      "
"DummyConfg","AlgP      "
"DummyConfg","AlgSi     "
"DummyConfg","AlgDM     "
"DummyConfg","IM1S1     "
"DummyConfg","IM2S1     "
"DummyConfg","IM3S1     "
"DummyConfg","IM1S2     "
"DummyConfg","IM2S2     "
"DummyConfg","IM3S2     "
"DummyConfg","DetCS1    "
"DummyConfg","OOCS1     "
"DummyConfg","DiatS1    "
"DummyConfg","GreenS1   "
"DummyConfg","AAPS1     "
"DummyConfg","DetNS1    "
"DummyConfg","DetPS1    "
"DummyConfg","DetSiS1   "
"DummyConfg","OONS1     "
"DummyConfg","OOPS1     "
"DummyConfg","OOSiS1    "
"DummyConfg","MPB1S1    "
"DummyConfg","MPB2S1    "
"DummyConfg","DetCS2    "
"DummyConfg","OOCS2     "
"DummyConfg","DiatS2    "
"DummyConfg","GreenS2   "
"DummyConfg","AAPS2     "
"DummyConfg","DetNS2    "
"DummyConfg","DetPS2    "
"DummyConfg","DetSiS2   "
"DummyConfg","OONS2     "
"DummyConfg","OOPS2     "
"DummyConfg","OOSiS2    "
"DummyConfg","MPB1S2    "
"DummyConfg","MPB2S2    "
"DummyConfg","DON       "
"DummyConfg","DOP       "
"DummyConfg","DOS       "
"DummyConfg","AAP       "
"DummyConfg","VIVP      "
"DummyConfg","APATP     "
"DummyConfg","PON3      "
"DummyConfg","PON4      "
"DummyConfg","POP3      "
"DummyConfg","POP4      "
"DummyConfg","POS3      "
"DummyConfg","POS4      "
"DummyConfg","EColi     "
"DummyConfg","FColi     "
"DummyConfg","TColi     "
"DummyConfg","EnCoc     "
"DummyConfg","CBOD5     "
"DummyConfg","CBOD5_2   "
"DummyConfg","CBODu     "
"DummyConfg","CBODu_2   "
"DummyConfg","COD_Cr    "
"DummyConfg","COD_Mn    "
"DummyConfg","NBOD5     "
"DummyConfg","NBODu     "
"DummyConfg","CBOD5_3   "
"DummyConfg","POC5      "
"DummyConfg","PON5      "
"DummyConfg","POP5      "
"DummyConfg","POS5      "
"DummyConfg","SOD       "
"DummyConfg","FeIIIpa   "
"DummyConfg","FeIId     "
"DummyConfg","CH4       "
"DummyConfg","SUP       "
"DummyConfg","FeIIId    "
"DummyConfg","FeS       "
"DummyConfg","FeS2      "
"DummyConfg","FeIIIpc   "
"DummyConfg","FeCO3     "
"DummyConfg","MPB1peli  "
"DummyConfg","MPB2psam  "
"DummyConfg","Bulkvolume"
"DummyConfg","Cd        "
"DummyConfg","Cd-Dis    "
"DummyConfg","Cd-Par    "
"DummyConfg","Cr        "
"DummyConfg","Cr-Dis    "
"DummyConfg","Cr-Par    "
"DummyConfg","Cu-Dis    "
"DummyConfg","Cu-Par    "
"DummyConfg","Hg        "
"DummyConfg","Hg-Dis    "
"DummyConfg","Hg-Par    "
"DummyConfg","Ni        "
"DummyConfg","Ni-Dis    "
"DummyConfg","Ni-Par    "
"DummyConfg","Pb        "
"DummyConfg","Pb-Dis    "
"DummyConfg","Pb-Par    "
"DummyConfg","As        "
"DummyConfg","As-Dis    "
"DummyConfg","As-Par    "
"DummyConfg","Va        "
"DummyConfg","Va-Dis    "
"DummyConfg","Va-Par    "
"DummyConfg","Zn        "
"DummyConfg","Zn-Dis    "
"DummyConfg","Zn-Par    "
"DummyConfg","CdS1      "
"DummyConfg","CdS1-Dis  "
"DummyConfg","CdS1-Par  "
"DummyConfg","CrS1      "
"DummyConfg","CrS1-Dis  "
"DummyConfg","CrS1-Par  "
"DummyConfg","CuS1      "
"DummyConfg","CuS1-Dis  "
"DummyConfg","CuS1-Par  "
"DummyConfg","HgS1      "
"DummyConfg","HgS1-Dis  "
"DummyConfg","HgS1-Par  "
"DummyConfg","NiS1      "
"DummyConfg","NiS1-Dis  "
"DummyConfg","NiS1-Par  "
"DummyConfg","PbS1      "
"DummyConfg","PbS1-Dis  "
"DummyConfg","PbS1-Par  "
"DummyConfg","AsS1      "
"DummyConfg","AsS1-Dis  "
"DummyConfg","AsS1-Par  "
"DummyConfg","VaS1      "
"DummyConfg","VaS1-Dis  "
"DummyConfg","VaS1-Par  "
"DummyConfg","ZnS1      "
"DummyConfg","ZnS1-Dis  "
"DummyConfg","ZnS1-Par  "
"DummyConfg","CdS2      "
"DummyConfg","CdS2-Dis  "
"DummyConfg","CdS2-Par  "
"DummyConfg","CrS2      "
"DummyConfg","CrS2-Dis  "
"DummyConfg","CrS2-Par  "
"DummyConfg","CuS2      "
"DummyConfg","CuS2-Dis  "
"DummyConfg","CuS2-Par  "
"DummyConfg","HgS2      "
"DummyConfg","HgS2-Dis  "
"DummyConfg","HgS2-Par  "
"DummyConfg","NiS2      "
"DummyConfg","NiS2-Dis  "
"DummyConfg","NiS2-Par  "
"DummyConfg","PbS2      "
"DummyConfg","PbS2-Dis  "
"DummyConfg","PbS2-Par  "
"DummyConfg","AsS2      "
"DummyConfg","AsS2-Dis  "
"DummyConfg","AsS2-Par  "
"DummyConfg","VaS2      "
"DummyConfg","VaS2-Dis  "
"DummyConfg","VaS2-Par  "
"DummyConfg","ZnS2      "
"DummyConfg","ZnS2-Dis  "
"DummyConfg","ZnS2-Par  "
"DummyConfg","153S1     "
"DummyConfg","153S1-Dis "
"DummyConfg","153S1-Par "
"DummyConfg","AtrS1     "
"DummyConfg","AtrS1-Dis "
"DummyConfg","AtrS1-Par "
"DummyConfg","BaPS1     "
"DummyConfg","BaPS1-Dis "
"DummyConfg","BaPS1-Par "
"DummyConfg","DiuS1     "
"DummyConfg","DiuS1-Dis "
"DummyConfg","DiuS1-Par "
"DummyConfg","FluS1     "
"DummyConfg","FluS1-Dis "
"DummyConfg","FluS1-Par "
"DummyConfg","HCBS1     "
"DummyConfg","HCBS1-Dis "
"DummyConfg","HCBS1-Par "
"DummyConfg","HCHS1     "
"DummyConfg","HCHS1-Dis "
"DummyConfg","HCHS1-Par "
"DummyConfg","MefS1     "
"DummyConfg","MefS1-Dis "
"DummyConfg","MefS1-Par "
"DummyConfg","153S2     "
"DummyConfg","153S2-Dis "
"DummyConfg","153S2-Par "
"DummyConfg","AtrS2     "
"DummyConfg","AtrS2-Dis "
"DummyConfg","AtrS2-Par "
"DummyConfg","BaPS2     "
"DummyConfg","BaPS2-Dis "
"DummyConfg","BaPS2-Par "
"DummyConfg","DiuS2     "
"DummyConfg","DiuS2-Dis "
"DummyConfg","DiuS2-Par "
"DummyConfg","FluS2     "
"DummyConfg","FluS2-Dis "
"DummyConfg","FluS2-Par "
"DummyConfg","HCBS2     "
"DummyConfg","HCBS2-Dis "
"DummyConfg","HCBS2-Par "
"DummyConfg","HCHS2     "
"DummyConfg","HCHS2-Dis "
"DummyConfg","HCHS2-Par "
"DummyConfg","MefS2     "
"DummyConfg","MefS2-Dis "
"DummyConfg","MefS2-Par "
"DummyConfg","153       "
"DummyConfg","153-dis   "
"DummyConfg","153-par   "
"DummyConfg","ATR       "
"DummyConfg","Atr-dis   "
"DummyConfg","Atr-par   "
"DummyConfg","BaP       "
"DummyConfg","BaP-dis   "
"DummyConfg","BaP-par   "
"DummyConfg","Diu       "
"DummyConfg","Diu-dis   "
"DummyConfg","Diu-par   "
"DummyConfg","Flu       "
"DummyConfg","Flu-dis   "
"DummyConfg","Flu-par   "
"DummyConfg","HCB       "
"DummyConfg","HCB-dis   "
"DummyConfg","HCB-par   "
"DummyConfg","HCH       "
"DummyConfg","HCH-dis   "
"DummyConfg","HCH-par   "
"DummyConfg","Mef       "
"DummyConfg","Mef-dis   "
"DummyConfg","Mef-par   "
"DummyConfg","DetC      "
"DummyConfg","DetN      "
"DummyConfg","DetP      "
"DummyConfg","DetSi     "
"DummyConfg","OMP       "
"DummyConfg","OMPS1     "
"DummyConfg","OMPS2     "
"DummyConfg","Prec      "
"DummyConfg","OMPS1-Dis "
"DummyConfg","OMPS1-Par "
"DummyConfg","OMPS2-Dis "
"DummyConfg","OMPS2-Par "
"DummyConfg","OMP-dis   "
"DummyConfg","OMP-par   "
"DummyConfg","VB01      "
"DummyConfg","VB02      "
"DummyConfg","VB03      "
"DummyConfg","VB04      "
"DummyConfg","VB05      "
"DummyConfg","VB06      "
"DummyConfg","VB07      "
"DummyConfg","VB08      "
"DummyConfg","VB09      "
"DummyConfg","RH01      "
"DummyConfg","NRH01     "
"DummyConfg","PRH01     "
"DummyConfg","RH02      "
"DummyConfg","NRH02     "
"DummyConfg","PRH02     "
"DummyConfg","RH03      "
"DummyConfg","NRH03     "
"DummyConfg","PRH03     "
"DummyConfg","RH04      "
"DummyConfg","NRH04     "
"DummyConfg","PRH04     "
"DummyConfg","RH05      "
"DummyConfg","NRH05     "
"DummyConfg","PRH05     "
"DummyConfg","Mussel_V  "
"DummyConfg","Mussel_E  "
"DummyConfg","Mussel_R  "
"DummyConfg","Mussel_N  "
"DummyConfg","F1        "
"DummyConfg","F2        "
"DummyConfg","F3        "
"DummyConfg","F4        "
"DummyConfg","F5        "
"DummyConfg","F6        "
"DummyConfg","F7        "
"DummyConfg","F8        "
"DummyConfg","Zoopl_V   "
"DummyConfg","Zoopl_E   "
"DummyConfg","Zoopl_R   "
"DummyConfg","Zoopl_N   "
"DummyConfg","Grazer3_V "
"DummyConfg","Grazer3_E "
"DummyConfg","Grazer3_R "
"DummyConfg","Grazer3_N "
"DummyConfg","Grazer4_V "
"DummyConfg","Grazer4_E "
"DummyConfg","Grazer4_R "
"DummyConfg","Grazer4_N "
"DummyConfg","Grazer5_V "
"DummyConfg","Grazer5_E "
"DummyConfg","Grazer5_R "
"DummyConfg","Grazer5_N "
"DummyConfg","Cascade1  "
"DummyConfg","Cascade2  "
"DummyConfg","Cascade3  "
"DummyConfg","Cascade4  "
"DummyConfg","Cascade5  "
"DummyConfg","MALS      "
"DummyConfg","MALN      "
"DummyConfg","MALP      "
"DummyConfg","MALC      "
